uid,label,date,points_std,covering_std,num_of_points,covering,entropy,turning_radius,place_dif,weekdays_weekends,ratio_day,ratio_night
60135310,0,32,5.203906721,2.2134121959999997,21.625,5.0625,4.8802291669999995,7.15413934,0.2822,7.304347826,0.8549222797927462,0.8549222797927462
60135315,1,16,3.048906908,1.558578412,3.3125,2.1875,3.679881418,7.143832682999999,0.26,-8.966666667,0.27100271002710025,0.27100271002710025
60135324,0,31,6.093536149,1.5650758340000002,21.74193548,4.8709677419999995,4.889229705,7.121047787999999,0.0737,11.12626263,0.2690951821386604,0.3235183795948987
60135325,1,27,6.191391874,1.867399124,12.11111111,4.222222222,4.615509098,7.144430787,0.0853,2.233333333,0.3671951111504738,0.3671951111504738
60135330,1,32,5.351740748,1.184152753,20.4375,3.78125,4.932962879,7.141742497,0.0199,-0.144927536,0.41451209341117595,0.3178082191780822
60135336,1,28,7.5729258779999995,1.2274419570000001,26.35714286,3.392857143,4.711512518999999,7.12989903,0.275,10.28571429,0.07060185185185185,0.3849321705426357
60135350,0,32,5.502107368,2.149409146,28.71875,5.65625,4.9056732389999995,7.141597612000001,0.2549,24.14009662,0.4791666666666667,0.4791666666666667
60135370,0,32,4.447611719,2.059595952,17.65625,8.375,4.9576270330000005,7.117534295,0.0632,-7.183574879,0.78125,0.42914653784219003
60135377,0,31,7.469651861,4.369739541,27.06451613,8.806451613,4.755811855,7.152471519,0.1845,7.207070707000001,0.2578774617067834,0.38488210818307905
60135380,0,32,5.679529597999999,1.523670759,17.46875,5.46875,4.945553692,7.142076607999999,0.008,-1.22705314,0.38005035367461937,0.38031472234831293
60135381,0,32,8.14380578,2.983151613,30.46875,6.0625,4.833568213,7.149096299,0.2773,23.69565217,0.3132494004796163,0.3132494004796163
60135386,0,32,4.509734096,1.998991681,30.28125,5.9375,4.928611195,7.144063957,0.0225,24.67391304,0.29111638954869357,0.2546022537096954
60135387,0,32,6.01040764,2.059595952,22.0625,6.125,4.921307456,7.149618342,0.023,9.028985507,0.2727272727272727,0.42375601926163725
60135393,0,32,3.45229587,1.490561704,17.78125,2.1875,4.728724445,7.138978166,0.8255,15.14130435,0.16402609506057783,0.16402609506057783
60135395,0,31,7.406187473999999,2.224013615,26.58064516,4.290322581,4.789179477,7.141670016,0.0322,24.63636364,0.2931623931623932,0.2549492998551424
60135406,1,23,2.895410024,1.97313979,3.260869565,2.565217391,4.178093473000001,7.137467823,0.0676,-12.60416667,0.10864745011086474,0.3247373447946514
60135408,1,32,2.723108992,1.039055868,4.4375,2.21875,4.861240874,7.13781709,0.2899,-23.97584541,0.2907801418439716,0.2907801418439716
60135411,1,32,4.071933836,2.487873817,15.5,6.9375,4.903666791,7.15063551,0.0662,6.2560386470000005,0.34363946023843833,0.4994978239035822
60135412,0,32,5.609611567000001,1.641203335,34.625,4.875,4.922556711,7.142026688,0.2025,20.28502415,0.389087656529517,0.389087656529517
60135431,0,17,5.075170238,2.368605944,19.58823529,3.117647059,3.7252984639999998,7.143319605,0.7747,8.811965812,0.37173489278752436,0.37173489278752436
60135438,0,32,7.408582643,2.271847337,22.875,6.0,4.896266917,7.147717407999999,0.1773,21.76086957,0.23302752293577983,0.5132743362831859
60135440,1,32,4.686545602,1.755176675,7.8125,2.625,4.711170138,7.141011281,0.386,-12.41062802,0.24838709677419354,0.24838709677419354
60135441,0,32,5.9112215589999995,2.870701555,29.65625,7.78125,4.891072155,7.148913236,0.1791,18.85990338,0.26055045871559634,0.20872865275142316
60135449,1,32,3.877145608,1.428045698,11.25,3.65625,4.890187238,7.151788132,0.2679,3.927536232,0.2636965683323299,0.36954087346024633
60135466,0,32,4.628104886,2.039676998,29.75,3.96875,4.842174385,7.136014767000001,0.3703,15.65700483,0.2002560819462228,0.2002560819462228
60135477,1,32,6.804884394,2.460781085,17.125,6.59375,4.888903245,7.139217697,0.0212,5.647342995,0.5554577464788732,0.2757871878393051
60135484,0,32,3.569019925,2.620483826,20.3125,5.1875,4.829093728,7.158973054,0.1172,15.51690821,0.42607836680935135,0.42441860465116277
60135491,1,32,1.864081111,0.0,2.40625,1.0,5.0,7.141865966,1.0,-15.57971014,0.29926108374384236,0.29926108374384236
